,City,Duration,Rise(UTC Time | Alt | Az),Culminate(UTC Time | Alt | Az),Set(UTC Time | Alt | Az)
0,New Delhi1,8.7 mins,23/07/25 06:33:18 PM | 0.0° | 289.6°,23/07/25 06:37:40 PM | 10.7° | 235.6°,23/07/25 06:42:00 PM | -0.0° | 181.3°
1,New Delhi2,10.4 mins,24/07/25 07:57:11 AM | 0.0° | 203.5°,24/07/25 08:02:24 AM | 31.7° | 128.6°,24/07/25 08:07:37 AM | -0.0° | 53.9°
2,New Delhi3,9.7 mins,24/07/25 09:34:19 AM | 0.0° | 257.7°,24/07/25 09:39:10 AM | 16.5° | 321.7°,24/07/25 09:44:02 AM | -0.0° | 25.8°
3,New Delhi4,2.7 mins,24/07/25 11:15:48 AM | 0.0° | 325.1°,24/07/25 11:17:08 AM | 0.6° | 339.6°,24/07/25 11:18:27 AM | -0.0° | 354.0°
4,New Delhi5,4.5 mins,24/07/25 02:32:46 PM | 0.0° | 358.6°,24/07/25 02:35:00 PM | 1.7° | 23.3°,24/07/25 02:37:14 PM | -0.0° | 48.0°
5,New Delhi6,10.1 mins,24/07/25 04:07:41 PM | 0.0° | 330.7°,24/07/25 04:12:46 PM | 22.1° | 40.4°,24/07/25 04:17:50 PM | -0.0° | 110.2°
6,New Delhi7,10.0 mins,24/07/25 05:44:24 PM | 0.0° | 300.8°,24/07/25 05:49:24 PM | 21.4° | 233.0°,24/07/25 05:54:24 PM | -0.0° | 164.9°
7,Mumbai1,10.7 mins,23/07/25 06:33:47 PM | 0.0° | 313.8°,23/07/25 06:39:07 PM | 46.5° | 233.2°,23/07/25 06:44:27 PM | -0.0° | 152.4°
8,Mumbai2,10.7 mins,24/07/25 07:54:22 AM | 0.0° | 209.6°,24/07/25 07:59:44 AM | 52.8° | 127.0°,24/07/25 08:05:06 AM | -0.0° | 44.7°
9,Mumbai3,7.9 mins,24/07/25 09:32:39 AM | 0.0° | 269.6°,24/07/25 09:36:37 AM | 7.4° | 317.2°,24/07/25 09:40:35 AM | -0.0° | 5.0°
10,Mumbai4,5.7 mins,24/07/25 04:10:47 PM | 0.0° | 7.3°,24/07/25 04:13:38 PM | 3.1° | 39.7°,24/07/25 04:16:29 PM | -0.0° | 72.0°
11,Mumbai5,10.8 mins,24/07/25 05:45:21 PM | 0.0° | 324.1°,24/07/25 05:50:45 PM | 69.4° | 51.3°,24/07/25 05:56:09 PM | -0.0° | 137.9°
12,Bangalore1,10.7 mins,23/07/25 06:35:49 PM | 0.0° | 314.8°,23/07/25 06:41:09 PM | 45.8° | 234.4°,23/07/25 06:46:29 PM | -0.0° | 153.5°
13,Bangalore2,7.9 mins,24/07/25 06:18:48 AM | 0.0° | 170.9°,24/07/25 06:22:44 AM | 7.4° | 123.7°,24/07/25 06:26:39 AM | -0.0° | 76.6°
